"","date","open","high","low","close","volume","adjusted"
"1",1975-06-16,12.882813,13.03125,12.859375,13.015625,806400,1.205148
"2",1975-06-17,13.015625,13.0625,12.71875,12.71875,1024000,1.177658
"3",1975-06-18,12.71875,12.84375,12.6875,12.765625,905600,1.181999
"4",1975-06-19,12.765625,13.023438,12.75,13.023438,1064000,1.205871
"5",1975-06-20,13.023438,13.140625,12.78125,12.898438,1275200,1.194297
"6",1975-06-23,12.898438,13.3125,12.890625,13.3125,678400,1.232636
"7",1975-06-24,13.3125,13.460938,13.203125,13.21875,1137600,1.223955
"8",1975-06-25,13.21875,13.328125,13.125,13.15625,883200,1.218168
"9",1975-06-26,13.15625,13.15625,13,13.078125,998400,1.210935
"10",1975-06-27,13.078125,13.21875,13.015625,13.0625,601600,1.209488
"11",1975-06-30,13.0625,13.1875,13.015625,13.0625,720000,1.209488
"12",1975-07-01,13.0625,13.171875,13.007813,13.03125,710400,1.206594
"13",1975-07-02,12.96875,12.96875,12.84375,12.929688,857600,1.19719
"14",1975-07-03,12.929688,13,12.890625,12.90625,689600,1.19502
"15",1975-07-07,12.90625,12.9375,12.742188,12.75,902400,1.180553
"16",1975-07-08,12.75,12.90625,12.726563,12.882813,832000,1.19285
"17",1975-07-09,12.921875,13.125,12.921875,13.09375,961600,1.212381
"18",1975-07-10,13.078125,13.078125,12.796875,12.796875,1168000,1.184893
"19",1975-07-11,12.796875,13,12.65625,12.84375,1451200,1.189233
"20",1975-07-14,12.84375,13,12.8125,13,793600,1.203701
"21",1975-07-15,13,13.09375,12.890625,12.921875,878400,1.196467
"22",1975-07-16,12.921875,12.984375,12.71875,12.789063,1006400,1.184169
"23",1975-07-17,12.789063,12.828125,12.59375,12.648438,1150400,1.171148
"24",1975-07-18,12.617188,12.617188,12.453125,12.617188,1569600,1.168255
"25",1975-07-21,12.617188,12.71875,12.46875,12.5625,1011200,1.163192
"26",1975-07-22,12.453125,12.453125,12.320313,12.34375,1467200,1.142937
"27",1975-07-23,12.34375,12.421875,12,12.0625,1396800,1.116895
"28",1975-07-24,12.0625,12.15625,11.96875,12.140625,1360000,1.124129
"29",1975-07-25,12.140625,12.15625,11.859375,11.90625,1516800,1.102428
"30",1975-07-28,11.90625,12.015625,11.890625,11.914063,723200,1.103152
"31",1975-07-29,11.914063,12.125,11.898438,12,1158400,1.111109
"32",1975-07-30,12,12.179688,11.953125,12.179688,1064000,1.127746
"33",1975-07-31,12.179688,12.203125,11.875,11.890625,1105600,1.100981
"34",1975-08-01,11.890625,11.921875,11.75,11.828125,1006400,1.095194
"35",1975-08-04,11.828125,11.890625,11.734375,11.734375,840000,1.086513
"36",1975-08-05,11.734375,11.796875,11.523438,11.523438,1192000,1.066983
"37",1975-08-06,11.523438,11.640625,11.523438,11.625,1139200,1.076386
"38",1975-08-07,11.609375,11.609375,11.375,11.4375,828800,1.069084
"39",1975-08-08,11.4375,11.484375,11.21875,11.25,1120000,1.051558
"40",1975-08-11,11.257813,11.46875,11.257813,11.46875,459200,1.072006
"41",1975-08-12,11.46875,11.585938,11.351563,11.375,1080000,1.063243
"42",1975-08-13,11.375,11.390625,11.070313,11.09375,1060800,1.036953
"43",1975-08-14,11.109375,11.3125,11.109375,11.234375,705600,1.050098
"44",1975-08-15,11.234375,11.390625,11.234375,11.390625,619200,1.064702
"45",1975-08-18,11.390625,11.484375,11.351563,11.375,467200,1.063243
"46",1975-08-19,11.375,11.390625,11.109375,11.140625,644800,1.041335
"47",1975-08-20,11.132813,11.132813,11,11.03125,1046400,1.031111
"48",1975-08-21,11.03125,11.171875,11.015625,11.09375,889600,1.036953
"49",1975-08-22,11.109375,11.265625,11.109375,11.265625,712000,1.053019
"50",1975-08-25,11.265625,11.375,11.25,11.375,740800,1.063243
"51",1975-08-26,11.359375,11.359375,11.140625,11.140625,552000,1.041335
"52",1975-08-27,11.140625,11.3125,11.140625,11.3125,692800,1.057401
"53",1975-08-28,11.34375,11.65625,11.34375,11.640625,948800,1.088071
"54",1975-08-29,11.640625,11.71875,11.609375,11.640625,836800,1.088071
"55",1975-09-02,11.640625,11.65625,11.296875,11.328125,609600,1.058861
"56",1975-09-03,11.328125,11.421875,11.226563,11.421875,8e+05,1.067624
"57",1975-09-04,11.421875,11.484375,11.34375,11.375,774400,1.063243
"58",1975-09-05,11.375,11.375,11.234375,11.25,644800,1.051558
"59",1975-09-08,11.25,11.46875,11.21875,11.46875,510400,1.072006
"60",1975-09-09,11.46875,11.617188,11.1875,11.1875,1116800,1.045716
"61",1975-09-10,11.1875,11.296875,11.101563,11.25,964800,1.051558
"62",1975-09-11,11.25,11.421875,11.21875,11.328125,915200,1.058861
"63",1975-09-12,11.328125,11.4375,11.1875,11.25,928000,1.051558
"64",1975-09-15,11.25,11.25,11.125,11.242188,440000,1.050828
"65",1975-09-16,11.242188,11.265625,11.109375,11.132813,689600,1.040605
"66",1975-09-17,11.164063,11.289063,11.164063,11.234375,497600,1.050098
"67",1975-09-18,11.25,11.65625,11.25,11.640625,976000,1.088071
"68",1975-09-19,11.640625,11.875,11.609375,11.828125,1520000,1.105597
"69",1975-09-22,11.828125,11.890625,11.625,11.65625,985600,1.08953
"70",1975-09-23,11.65625,11.796875,11.59375,11.78125,1043200,1.101215
"71",1975-09-24,11.90625,12.078125,11.90625,11.9375,1451200,1.11582
"72",1975-09-25,11.9375,12.0625,11.875,12,902400,1.121662
"73",1975-09-26,12.007813,12.265625,12.007813,12.25,860800,1.14503
"74",1975-09-29,12.1875,12.1875,11.921875,11.921875,1056000,1.11436
"75",1975-09-30,11.921875,11.9375,11.75,11.765625,937600,1.099754
"76",1975-10-01,11.765625,11.859375,11.453125,11.460938,1124800,1.071275
"77",1975-10-02,11.484375,11.796875,11.484375,11.796875,920000,1.102676
"78",1975-10-03,11.8125,12.21875,11.8125,12.203125,1441600,1.140649
"79",1975-10-06,12.507813,12.71875,12.507813,12.5625,2494400,1.17424
"80",1975-10-07,12.5625,12.648438,12.34375,12.578125,1718400,1.175701
"81",1975-10-08,12.578125,12.921875,12.5625,12.875,1624000,1.20345
"82",1975-10-09,12.875,13.078125,12.796875,12.828125,2057600,1.199069
"83",1975-10-10,12.828125,12.9375,12.734375,12.875,1182400,1.20345
"84",1975-10-13,12.875,13.15625,12.828125,13.15625,947200,1.229738
"85",1975-10-14,13.15625,13.3125,13,13.03125,1566400,1.218055
"86",1975-10-15,13.03125,13.125,12.96875,13.046875,1136000,1.219516
"87",1975-10-16,13.046875,13.28125,13.039063,13.085938,1300800,1.223167
"88",1975-10-17,13.085938,13.15625,12.953125,12.953125,912000,1.210752
"89",1975-10-20,13,13.242188,13,13.21875,912000,1.23558
"90",1975-10-21,13.28125,13.421875,13.28125,13.304688,1652800,1.243613
"91",1975-10-22,13.304688,13.359375,13.140625,13.328125,1121600,1.245805
"92",1975-10-23,13.328125,13.484375,13.25,13.460938,1236800,1.258219
"93",1975-10-24,13.421875,13.421875,13.0625,13.0625,1649600,1.220976
"94",1975-10-27,13.0625,13.234375,13.046875,13.195313,1307200,1.23339
"95",1975-10-28,13.242188,13.46875,13.242188,13.4375,1446400,1.256028
"96",1975-10-29,13.390625,13.390625,13.109375,13.1875,1713600,1.23266
"97",1975-10-30,13.1875,13.34375,13.15625,13.195313,1214400,1.23339
"98",1975-10-31,13.195313,13.296875,13.15625,13.265625,731200,1.239962
"99",1975-11-03,13.265625,13.296875,13.1875,13.203125,496000,1.234121
"100",1975-11-04,13.226563,13.390625,13.226563,13.34375,787200,1.247265
"101",1975-11-05,13.34375,13.5625,13.328125,13.484375,1652800,1.270826
"102",1975-11-06,13.484375,13.625,13.3125,13.5625,1368000,1.27819
